date,prc_val,div_val,prc_adj_val,div_adj_val,pd,pd_adj
31dec1925,2.55e+09,0,2.26e+07,0,,
30jan1926,2.27e+09,1278267,2.32e+07,54826.76,7.481859,6.04877
27feb1926,2.29e+09,4536503,2.36e+07,86459.14,6.224956,5.609517
31mar1926,2.08e+09,1.66e+07,2.18e+07,203967.9,4.835319,4.670402
30apr1926,2.03e+09,1559532,2.16e+07,66719.05,7.169946,5.779564
28may1926,1.98e+09,6203373,2.31e+07,262577.6,5.765959,4.477003
30jun1926,2.15e+09,1.94e+07,2.55e+07,165972.2,4.706911,5.032855
31jul1926,1.70e+09,1003489,2.34e+07,56535.32,7.433653,6.027609
31aug1926,1.92e+09,4628749,2.43e+07,94986.78,6.02543,5.54437
30sep1926,1.86e+09,1.56e+07,2.47e+07,132162.2,4.784948,5.230571
30oct1926,1.60e+09,1009585,2.31e+07,55374.76,7.370891,6.034548
30nov1926,2.58e+09,1.97e+07,2.83e+07,210180.3,4.873806,4.901474
31dec1926,2.03e+09,1.83e+07,2.74e+07,177751.8,4.709508,5.039528
31jan1927,1.86e+09,1683295,2.64e+07,75177.86,7.009828,5.860237
28feb1927,2.28e+09,6441531,2.96e+07,137161.3,5.870193,5.372861
31mar1927,-4.52e+08,1.87e+07,2.82e+07,157774.5,,5.184826
30apr1927,1.58e+09,1652092,2.64e+07,71236.76,6.864335,5.913587
31may1927,2.16e+09,7136323,3.12e+07,150722.1,5.710375,5.334261
30jun1927,1.59e+09,1.46e+07,3.02e+07,233065.3,4.692863,4.863935
30jul1927,1.71e+09,1428459,3.05e+07,78343.22,7.085939,5.963997
31aug1927,2.21e+09,8988168,3.22e+07,163376.7,5.504801,5.284512
30sep1927,2.14e+09,1.42e+07,3.46e+07,197253.7,5.016792,5.16821
31oct1927,1.97e+09,2240349,3.24e+07,99413.68,6.777364,5.785288
30nov1927,2.82e+09,1.21e+07,3.77e+07,160147.5,5.450756,5.46138
31dec1927,2.04e+09,1.29e+07,3.83e+07,218290.5,5.065799,5.167755
31jan1928,2.21e+09,1473294,3.58e+07,80831.35,7.312381,6.093219
29feb1928,2.43e+09,7213644,3.47e+07,135075.2,5.819807,5.549769
31mar1928,2.45e+09,1.40e+07,3.79e+07,157299.8,5.165034,5.485785
30apr1928,2.65e+09,1795678,3.84e+07,97260.56,7.296566,5.979666
31may1928,2.96e+09,8957541,4.24e+07,169334.9,5.799938,5.524202
30jun1928,2.59e+09,1.91e+07,4.18e+07,234901.9,4.907897,5.181653
31jul1928,2.09e+09,1497198,3.80e+07,75087.31,7.242138,6.227418
31aug1928,3.02e+09,1.67e+07,4.25e+07,355248,5.198876,4.784718
29sep1928,2.72e+09,1.25e+07,4.12e+07,137892.9,5.380658,5.700547
31oct1928,2.90e+09,2464078,4.31e+07,98598.87,7.070265,6.079252
30nov1928,4.15e+09,1.69e+07,5.61e+07,313037,5.499802,5.188868
31dec1928,3.76e+09,2.10e+07,5.87e+07,1011951,5.189688,4.060891
31jan1929,3.07e+09,3634555,5.62e+07,191090.6,6.738777,5.684091
28feb1929,3.71e+09,2.38e+08,5.58e+07,249732.5,2.748013,5.409518
28mar1929,2.75e+09,1.26e+07,5.62e+07,245936.7,5.384539,5.431973
30apr1929,2.78e+09,3878703,5.79e+07,312838.9,6.57408,5.220667
31may1929,3.00e+09,1.33e+07,6.20e+07,408553.8,5.421565,5.022152
29jun1929,3.08e+09,1.15e+07,6.21e+07,210275.6,5.591386,5.687551
31jul1929,3.11e+09,3832746,6.21e+07,216384.3,6.70038,5.659302
30aug1929,4.15e+09,1.05e+07,7.01e+07,215225.9,5.974308,5.785305
