,mean,std,exp(__0)/12,,
BY paper,19.98,0.21,-,,
"__m = -0.0049, Last week",14.7674,0.1476,16.9652,,
"__m = -0.0040, Last week",19.0924,0.1515,20.7917,,
"__m = -0.0030, Last week",31.2263,0.1560,27.7361,,
"__m = -0.0020, Last week",107.1049,0.1608,41.6250,,
"__m = -0.0015, Last week",572.9315,0.1632,55.5139,,
"__m = -0.0049, expansion suite log N",14.7675,0.1476,16.9652,,
"__m = -0.0040, expansion suite log N",19.0926,0.1515,20.7917,,
"__m = -0.0030, expansion suite log N",31.2274,0.1560,27.7361,,
"__m = -0.0020, expansion suite log N",107.1166,0.1608,41.6250,,
"__m = -0.0015, expansion suite log N",573.0607,0.1632,55.5139,,
"__m = -0.0049, This week",14.9778,0.1490,16.9652,,
"__m = -0.0040, This week",19.4059,0.1532,20.7917,,
"__m = -0.0030, This week",31.7550,0.1583,27.7361,,
"__m = -0.0020, This week",107.4971,0.1639,41.6250,,
"__m = -0.0015, This week",556.5501,0.1669,55.5139,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,mean,std,mean,std,exp(__0)/12
"__m = -0.0049, This week",14.9778,0.1490,14.7674,0.1476,16.9652
"__m = -0.0040, This week",19.4059,0.1532,19.0924,0.1515,20.7917
"__m = -0.0030, This week",31.7550,0.1583,31.2263,0.1560,27.7361
"__m = -0.0020, This week",107.4971,0.1639,107.1049,0.1608,41.6250
"__m = -0.0015, This week",556.5501,0.1669,572.9315,0.1632,55.5139
